k,Omega_over_k
1.290196138408277307e+02,3.352924149249552918e-09
1.302429121962335046e+02,3.486365227678087763e-09
1.314778092444410049e+02,3.625117049988527707e-09
1.327244149583559647e+02,3.769390975388363623e-09
1.339828403535913992e+02,3.919406774847229273e-09
1.352531974983535008e+02,4.075392965871778262e-09
1.365355995234225759e+02,4.237587160604054649e-09
1.378301606322273472e+02,4.406236427773572549e-09
1.391369961110153213e+02,4.581597669054500031e-09
1.404562223391195914e+02,4.763938010401341021e-09
1.417879567993228704e+02,4.953535208959160084e-09
1.431323180883199200e+02,5.150678076168121764e-09
1.444894259272791430e+02,5.568813990945266967e-09
1.458594011725036808e+02,5.790443980602494846e-09
1.472423658261951971e+02,6.020894493336125520e-09
1.486384430473179918e+02,6.260516572014827542e-09
1.500477571625670521e+02,6.509675230458164022e-09
1.514704336774397575e+02,6.768750009458541284e-09
1.529065992874128881e+02,7.038135554931547502e-09
1.543563818892252471e+02,7.318242219076181236e-09
1.558199105922674903e+02,7.609496685459867188e-09
1.572973157300799301e+02,7.912342618981326749e-09
1.587887288719587957e+02,8.227241341700456680e-09
1.602942828346739645e+02,8.895134973108255315e-09
1.618141116942962014e+02,9.249147277217334575e-09
1.633483507981373180e+02,9.617248711152944912e-09
1.648971367768035634e+02,1.000000000000000021e-08
1.664606075563630441e+02,1.039798418481489935e-08
1.680389023706287617e+02,1.081180751076607759e-08
1.696321617735578684e+02,1.124210035062086232e-08
1.712405276517688435e+02,1.168951816498577660e-08
1.728641432371763358e+02,1.215474250076288481e-08
1.745031531197477648e+02,1.263848202934297180e-08
1.761577032603788382e+02,1.314147362611758142e-08
1.778279410038922776e+02,1.366448349295324446e-08
1.795140150921594397e+02,1.420830832533923835e-08
1.812160756773464811e+02,1.536174946671829548e-08
1.829342743352860055e+02,1.597312280060252458e-08
1.846687640789755847e+02,1.660882782627716702e-08
1.864196993722043487e+02,1.726983290659432335e-08
1.881872361433079845e+02,1.795714494371640749e-08
1.899715317990559242e+02,1.867181091291920556e-08
1.917727452386683353e+02,1.941491945743881584e-08
1.935910368679669205e+02,2.018760254679038707e-08
1.954265686136598390e+02,2.099103720108554661e-08
1.972795039377619446e+02,2.182644728397487284e-08
1.991500078521517594e+02,2.269510536694668287e-08
2.029443893369366663e+02,2.453751106639816899e-08
2.048686048133601503e+02,2.652948464431894539e-08
2.068110647222205785e+02,2.758531617629186881e-08
2.087719420479465953e+02,2.868316813342009039e-08
2.107514114151173885e+02,2.982471286216894119e-08
2.127496491040134572e+02,3.101168926574775637e-08
2.147668330663152858e+02,3.224590545296398020e-08
2.168031429409507496e+02,3.352924149249553084e-08
2.188587600700925577e+02,3.486365227678087515e-08
2.209338675153079805e+02,3.625117049988528121e-08
2.230286500738602342e+02,3.769390975388363623e-08
2.251432942951668679e+02,3.919406774847221167e-08
2.272779884974119682e+02,4.075392965871777931e-08
2.294329227843167587e+02,4.237587160604063582e-08
2.316082890620693320e+02,4.406236427773572880e-08
2.338042810564145668e+02,4.581597669054491098e-08
2.360210943299066741e+02,4.763938010401340525e-08
2.382589262993234627e+02,4.763938010401340525e-08
2.405179762532499979e+02,4.953535208959170011e-08
2.427984453698225593e+02,5.150678076168121764e-08
2.451005367346472212e+02,5.355666917706896673e-08
2.474244553588842166e+02,5.568813990945266802e-08
2.497704081975053327e+02,5.790443980602495011e-08
2.521386041677241678e+02,6.020894493336125024e-08
2.545292541676010103e+02,6.020894493336125024e-08
2.569425710948245865e+02,6.260516572014828534e-08
2.593787698656703924e+02,6.509675230458164353e-08
2.618380674341416352e+02,6.768750009458541945e-08
2.643206828112886910e+02,7.038135554931546840e-08
2.668268370847132474e+02,7.318242219076182064e-08
2.693567534382573285e+02,7.609496685459867519e-08
2.719106571718785972e+02,7.609496685459867519e-08
2.744887757217141484e+02,7.912342618981326418e-08
2.770913386803351273e+02,8.227241341700457672e-08
2.797185778171926813e+02,8.554672535565683935e-08
2.823707270992573513e+02,8.895134973108236455e-08
2.850480227118562766e+02,9.249147277217334906e-08
2.877507030797053744e+02,9.617248711152963771e-08
2.904790088881426300e+02,9.617248711152963771e-08
2.932331831045617605e+02,9.999999999999999547e-08
2.960134710000499467e+02,1.039798418481489935e-07
2.988201201712298598e+02,1.081180751076607693e-07
3.045135044873413221e+02,1.124210035062086298e-07
3.103153641797168802e+02,1.215474250076285934e-07
3.132576166276780896e+02,1.263848202934297214e-07
3.162277660168379612e+02,1.314147362611755264e-07
3.192260768518036116e+02,1.366448349295324446e-07
3.222528161450804873e+02,1.477377652598509580e-07
3.253082534408508764e+02,1.536174946671829548e-07
3.283926608389776902e+02,1.597312280060252325e-07
3.315063130192368703e+02,1.660882782627716702e-07
3.346494872657771680e+02,1.726983290659436107e-07
3.378224634918156539e+02,1.795714494371640815e-07
3.410255242645637850e+02,1.867181091291920755e-07
3.442589548303915876e+02,2.018760254679038971e-07
3.475230431402300724e+02,2.099103720108554463e-07
3.508180798752146643e+02,2.182644728397487217e-07
3.541443584725716391e+02,2.269510536694668486e-07
3.575021751517484745e+02,2.359833466782193742e-07
3.608918289407972111e+02,2.551406520031287574e-07
3.643136217029993418e+02,2.652948464431894671e-07
3.677678581637518391e+02,2.758531617629181322e-07
3.712548459377026688e+02,2.868316813342009171e-07
3.747748955561452817e+02,2.982471286216893855e-07
3.783283204946728802e+02,3.224590545296398020e-07
3.819154372010949601e+02,3.352924149249553216e-07
3.855365651236185158e+02,3.486365227678087515e-07
3.891920267392943629e+02,3.625117049988535136e-07
3.928821475827393783e+02,3.769390975388363490e-07
3.966072562751215287e+02,3.919406774847221431e-07
4.041637673000108180e+02,4.406236427773573013e-07
4.079958425724005338e+02,4.581597669054491230e-07
4.118642516334209063e+02,4.581597669054491230e-07
4.399898145047984030e+02,5.568813990945267464e-07
4.483728882674180340e+02,6.020894493336125818e-07
4.526241319388085458e+02,6.020894493336125818e-07
4.569156837403886016e+02,6.260516572014827740e-07
4.612479258533454072e+02,6.509675230458163559e-07
4.700360278907436964e+02,6.768750009458541416e-07
4.744926704335557019e+02,7.038135554931547369e-07
4.789915685941838888e+02,7.318242219076181534e-07
4.835331230189040070e+02,7.318242219076181534e-07
4.881177381527160719e+02,7.609496685459882872e-07
4.927458222753616610e+02,7.912342618981326683e-07
4.974177875376839211e+02,7.912342618981326683e-07
5.117011505108637834e+02,8.554672535565684200e-07
5.165528405542972905e+02,8.554672535565684200e-07
5.214505318550155835e+02,8.895134973108236720e-07
5.263946605735426374e+02,9.249147277217334641e-07
5.313856670058546570e+02,9.249147277217334641e-07
5.364239956225906099e+02,9.249147277217334641e-07
5.415100951086342320e+02,9.249147277217334641e-07
5.466444184030696078e+02,9.617248711152963771e-07
5.518274227395203297e+02,9.617248711152963771e-07
5.570595696868664390e+02,9.999999999999999547e-07
5.623413251903490391e+02,9.999999999999999547e-07
5.676731596130650814e+02,9.999999999999999547e-07
5.730555477778551676e+02,1.039798418481489909e-06
5.784889690095886863e+02,1.039798418481489909e-06
5.839739071778493553e+02,1.081180751076607852e-06
5.895108507400270810e+02,1.081180751076607852e-06
5.951002927848143145e+02,1.081180751076607852e-06
6.064386680974027968e+02,1.124210035062086298e-06
6.121886110964048839e+02,1.168951816498577640e-06
6.179930721303394421e+02,1.168951816498577640e-06
6.238525681114844019e+02,1.168951816498577640e-06
6.297676208532175224e+02,1.168951816498577640e-06
6.357387571164829296e+02,1.168951816498577640e-06
6.417665086567086519e+02,1.168951816498577640e-06
6.478514122711529808e+02,1.168951816498577640e-06
6.539940098467149028e+02,1.168951816498577640e-06
6.601948484081890456e+02,1.168951816498577640e-06
6.664544801669809431e+02,1.168951816498577640e-06
6.727734625702834137e+02,1.168951816498577640e-06
6.791523583507204194e+02,1.168951816498577640e-06
6.855917355764611330e+02,1.168951816498577640e-06
6.920921677018050104e+02,1.168951816498577640e-06
6.986542336182587860e+02,1.215474250076285934e-06
7.119656098863212037e+02,1.215474250076285934e-06
7.187161056733717714e+02,1.168951816498577640e-06
7.255306062279817070e+02,1.168951816498577640e-06
7.324097184108022702e+02,1.168951816498577640e-06
7.393540548364288725e+02,1.168951816498577640e-06
7.463642339279576845e+02,1.124210035062086298e-06
7.534408799720549723e+02,1.081180751076607852e-06
7.605846231745612158e+02,1.081180751076607852e-06
7.677960997166024981e+02,1.081180751076607852e-06
7.750759518112540718e+02,1.081180751076607852e-06
7.824248277607280215e+02,1.039798418481489909e-06
7.898433820141082151e+02,1.039798418481489909e-06
7.973322752256319745e+02,9.999999999999999547e-07
8.125237525193892907e+02,9.999999999999999547e-07
8.517808440132835130e+02,9.999999999999999547e-07
8.598569967363345086e+02,9.999999999999999547e-07
8.680097234317453285e+02,9.999999999999999547e-07
8.762397501349740878e+02,9.999999999999999547e-07
8.845478097653788154e+02,9.999999999999999547e-07
8.929346421914826806e+02,9.999999999999999547e-07
9.099476200466968976e+02,9.999999999999999547e-07
9.185752805548255537e+02,9.999999999999999547e-07
9.272847441516195204e+02,9.617248711152963771e-07
9.629562524599029985e+02,8.895134973108236720e-07
9.720865138588806076e+02,8.554672535565684200e-07
9.813033437525335785e+02,8.554672535565684200e-07
9.906075629392971678e+02,8.554672535565684200e-07
1.068288429403216469e+03,7.318242219076181534e-07
1.078417396929039569e+03,7.038135554931547369e-07
1.088642402173062464e+03,6.768750009458541416e-07
1.098964355716081627e+03,6.768750009458541416e-07
1.109384176772557566e+03,6.768750009458541416e-07
1.130521141943977227e+03,6.260516572014827740e-07
1.141240168396791205e+03,6.260516572014827740e-07
1.152060827206427575e+03,6.260516572014827740e-07
1.162984081999205728e+03,6.260516572014827740e-07
1.174010905538050565e+03,6.020894493336125818e-07
1.185142279809135744e+03,5.790443980602482835e-07
1.196379196109326813e+03,5.790443980602482835e-07
1.242402438379873047e+03,5.790443980602482835e-07
1.254182266379492148e+03,5.568813990945267464e-07
1.266073784716649016e+03,5.568813990945267464e-07
1.278078052382315718e+03,5.355666917706896408e-07
1.290196138408277193e+03,5.355666917706896408e-07
1.302429121962334875e+03,5.355666917706896408e-07
1.314778092444410049e+03,5.355666917706896408e-07
1.404562223391195857e+03,4.763938010401340789e-07
1.431323180883199257e+03,4.581597669054491230e-07
1.444894259272791260e+03,4.406236427773573013e-07
1.458594011725035216e+03,4.237587160604063450e-07
1.486384430473179918e+03,4.075392965871777931e-07
1.500477571625670407e+03,3.919406774847221431e-07
1.514704336774397689e+03,3.919406774847221431e-07
1.529065992874129051e+03,3.919406774847221431e-07
1.543563818892254176e+03,3.919406774847221431e-07
1.558199105922674789e+03,3.919406774847221431e-07
1.572973157300799130e+03,3.919406774847221431e-07
1.696321617735578684e+03,3.625117049988535136e-07
1.712405276517688435e+03,3.486365227678087515e-07
1.795140150921594568e+03,3.224590545296398020e-07
1.881872361433077913e+03,2.868316813342009171e-07
1.899715317990559242e+03,2.868316813342009171e-07
1.917727452386683353e+03,2.758531617629181322e-07
1.935910368679669091e+03,2.652948464431894671e-07
1.954265686136598333e+03,2.652948464431894671e-07
2.087719420479465953e+03,2.453751106639817031e-07
2.127496491040134515e+03,2.453751106639817031e-07
2.147668330663153029e+03,2.359833466782193742e-07
2.168031429409509656e+03,2.359833466782193742e-07
2.230286500738602172e+03,2.182644728397487217e-07
2.251432942951668792e+03,2.182644728397487217e-07
2.272779884974119796e+03,2.099103720108554463e-07
2.294329227843167700e+03,2.099103720108554463e-07
2.316082890620693433e+03,2.099103720108554463e-07
2.338042810564145839e+03,2.099103720108554463e-07
2.360210943299066912e+03,2.018760254679038971e-07
2.382589262993234570e+03,2.018760254679038971e-07
2.405179762532499808e+03,1.941491945743881716e-07
2.427984453698225479e+03,1.941491945743881716e-07
2.451005367346472212e+03,1.941491945743881716e-07
2.474244553588842336e+03,1.941491945743881716e-07
2.497704081975053668e+03,1.941491945743881716e-07
2.521386041677241792e+03,1.867181091291920755e-07
2.545292541676009932e+03,1.795714494371640815e-07
2.569425710948245523e+03,1.795714494371640815e-07
2.593787698656701195e+03,1.795714494371640815e-07
2.618380674341416579e+03,1.795714494371640815e-07
2.643206828112886797e+03,1.726983290659436107e-07
2.668268370847132701e+03,1.660882782627716702e-07
2.693567534382573740e+03,1.660882782627716702e-07
2.719106571718785744e+03,1.660882782627716702e-07
2.744887757217144554e+03,1.597312280060252325e-07
2.770913386803350932e+03,1.536174946671829548e-07
2.797185778171926813e+03,1.536174946671829548e-07
2.823707270992570557e+03,1.536174946671829548e-07
2.850480227118562652e+03,1.536174946671829548e-07
2.877507030797054085e+03,1.477377652598509580e-07
2.904790088881426072e+03,1.420830832533923670e-07
2.932331831045617946e+03,1.420830832533923670e-07
2.960134710000499581e+03,1.420830832533923670e-07
2.988201201712302009e+03,1.420830832533923670e-07
3.045135044873413335e+03,1.366448349295324446e-07
3.074007466526894859e+03,1.366448349295324446e-07
3.103153641797168802e+03,1.314147362611755264e-07
3.132576166276781350e+03,1.314147362611755264e-07
3.162277660168379498e+03,1.263848202934297214e-07
3.192260768518036002e+03,1.215474250076285934e-07
3.222528161450804873e+03,1.215474250076285934e-07
3.253082534408511947e+03,1.215474250076285934e-07
3.283926608389776902e+03,1.215474250076285934e-07
3.315063130192369044e+03,1.215474250076285934e-07
3.346494872657768610e+03,1.168951816498577693e-07
3.378224634918156426e+03,1.124210035062086298e-07
3.410255242645637736e+03,1.124210035062086298e-07
3.442589548303915763e+03,1.124210035062086298e-07
3.475230431402300837e+03,1.081180751076607693e-07
3.508180798752146529e+03,1.081180751076607693e-07
3.541443584725716391e+03,1.039798418481489935e-07
3.575021751517484518e+03,1.039798418481489935e-07
3.608918289407972225e+03,1.039798418481489935e-07
3.643136217029989439e+03,1.039798418481489935e-07
3.677678581637518619e+03,1.039798418481489935e-07
3.712548459377026575e+03,9.999999999999999547e-08
3.747748955561452476e+03,9.617248711152963771e-08
3.783283204946728802e+03,9.617248711152963771e-08
3.819154372010949828e+03,9.617248711152963771e-08
3.855365651236185386e+03,9.617248711152963771e-08
3.891920267392943515e+03,9.249147277217334906e-08
3.928821475827393897e+03,8.895134973108236455e-08
3.966072562751215173e+03,8.895134973108236455e-08
4.003676845534289441e+03,8.895134973108236455e-08
4.079958425724005338e+03,8.554672535565683935e-08
4.118642516334209176e+03,8.554672535565683935e-08
4.157693389815754017e+03,8.227241341700457672e-08
4.197114523817273948e+03,8.227241341700457672e-08
4.236909428960680998e+03,8.227241341700457672e-08
4.277081649153850776e+03,8.227241341700457672e-08
4.317634761906157109e+03,7.912342618981326418e-08
4.358572378647118057e+03,7.609496685459867519e-08
4.399898145047984144e+03,7.609496685459867519e-08
4.441615741346407049e+03,7.609496685459867519e-08
4.483728882674179658e+03,7.609496685459867519e-08
4.526241319388085685e+03,7.609496685459867519e-08
4.569156837403886129e+03,7.318242219076182064e-08
4.612479258533454413e+03,7.038135554931546840e-08
4.656212440825171143e+03,7.038135554931546840e-08
4.700360278907436623e+03,6.768750009458541945e-08
4.744926704335556678e+03,6.768750009458541945e-08
4.789915685941839001e+03,6.509675230458164353e-08
4.835331230189040070e+03,6.509675230458164353e-08
4.881177381527165380e+03,6.509675230458164353e-08
4.927458222753616610e+03,6.509675230458164353e-08
4.974177875376839438e+03,6.260516572014828534e-08
5.068950296608012650e+03,6.020894493336125024e-08
5.117011505108637721e+03,6.020894493336125024e-08
5.214505318550155607e+03,5.790443980602495011e-08
5.263946605735425692e+03,5.790443980602495011e-08
5.466444184030689939e+03,5.355666917706896673e-08
5.623413251903491073e+03,5.150678076168121764e-08
5.784889690095892547e+03,4.953535208959170011e-08
6.007427310761214358e+03,4.763938010401340525e-08
6.238525681114844701e+03,4.406236427773572880e-08
6.417665086567087201e+03,4.075392965871777931e-08
6.478514122711522759e+03,4.075392965871777931e-08
6.601948484081890456e+03,4.075392965871777931e-08
6.664544801669809203e+03,3.919406774847221167e-08
6.727734625702833910e+03,3.769390975388363623e-08
6.791523583507204421e+03,3.769390975388363623e-08
6.855917355764610875e+03,3.769390975388363623e-08
6.920921677018050104e+03,3.769390975388363623e-08
7.534408799720549723e+03,3.224590545296398020e-08
7.605846231745612386e+03,3.224590545296398020e-08
7.677960997166025663e+03,3.224590545296398020e-08
7.824248277607280215e+03,2.982471286216894119e-08
7.898433820141081924e+03,2.982471286216894119e-08
7.973322752256319291e+03,2.982471286216894119e-08
8.125237525193892907e+03,2.868316813342009039e-08
8.202276894681639533e+03,2.868316813342009039e-08
8.280046712286477486e+03,2.758531617629186881e-08
8.358553903745903881e+03,2.758531617629186881e-08
8.437805460463763666e+03,2.758531617629186881e-08
8.517808440132836040e+03,2.652948464431894539e-08
8.598569967363346223e+03,2.652948464431894539e-08
8.680097234317461698e+03,2.551406520031287309e-08
8.762397501349740196e+03,2.551406520031287309e-08
8.845478097653787700e+03,2.551406520031287309e-08
8.929346421914826351e+03,2.453751106639816899e-08
9.014009942968719770e+03,2.453751106639816899e-08
9.185752805548254400e+03,2.359833466782193609e-08
9.272847441516196341e+03,2.359833466782193609e-08
9.360767864523582830e+03,2.269510536694668287e-08
9.449521904263117904e+03,2.269510536694668287e-08
9.720865138588796981e+03,2.182644728397487284e-08
9.813033437525335103e+03,2.182644728397487284e-08
9.906075629392971678e+03,2.099103720108554661e-08
1.019052881421936036e+04,2.018760254679038707e-08
1.028715022524397136e+04,2.018760254679038707e-08
1.038468775134350653e+04,1.941491945743881584e-08
1.088642402173062328e+04,1.795714494371640749e-08
1.098964355716082719e+04,1.795714494371640749e-08
1.109384176772557475e+04,1.726983290659432335e-08
1.119902793272473355e+04,1.726983290659432335e-08
1.130521141943977273e+04,1.726983290659432335e-08
1.162984081999205591e+04,1.597312280060252458e-08
1.174010905538051702e+04,1.597312280060252458e-08
1.185142279809135835e+04,1.597312280060252458e-08
1.196379196109325676e+04,1.536174946671829548e-08
1.242402438379873092e+04,1.477377652598509680e-08
1.254182266379493376e+04,1.420830832533923835e-08
1.266073784716649061e+04,1.420830832533923835e-08
1.278078052382314308e+04,1.366448349295324446e-08
1.290196138408277329e+04,1.366448349295324446e-08
1.302429121962336285e+04,1.366448349295324446e-08
1.314778092444409958e+04,1.314147362611758142e-08
1.327244149583558283e+04,1.314147362611758142e-08
1.339828403535915459e+04,1.263848202934297180e-08
1.352531974983535110e+04,1.263848202934297180e-08
1.365355995234224429e+04,1.263848202934297180e-08
1.378301606322273437e+04,1.263848202934297180e-08
1.391369961110154509e+04,1.215474250076288481e-08
1.404562223391195766e+04,1.168951816498577660e-08
1.417879567993227283e+04,1.168951816498577660e-08
1.431323180883199348e+04,1.168951816498577660e-08
1.444894259272791351e+04,1.168951816498577660e-08
1.458594011725035307e+04,1.124210035062086232e-08
1.472423658261952005e+04,1.081180751076607759e-08
1.486384430473181601e+04,1.081180751076607759e-08
1.500477571625670316e+04,1.081180751076607759e-08
1.514704336774395961e+04,1.081180751076607759e-08
1.529065992874129006e+04,1.039798418481489935e-08
1.543563818892254130e+04,1.039798418481489935e-08
1.558199105922674789e+04,1.000000000000000021e-08
1.572973157300799176e+04,1.000000000000000021e-08
1.587887288719589560e+04,1.000000000000000021e-08
1.602942828346739770e+04,1.000000000000000021e-08
1.618141116942960252e+04,9.617248711152944912e-09
1.633483507981373077e+04,9.249147277217334575e-09
1.648971367768037089e+04,9.249147277217334575e-09
1.664606075563630657e+04,9.249147277217334575e-09
1.680389023706286025e+04,9.249147277217334575e-09
1.696321617735578911e+04,8.895134973108255315e-09
1.712405276517688253e+04,8.554672535565683604e-09
1.728641432371761766e+04,8.554672535565683604e-09
1.745031531197477671e+04,8.554672535565683604e-09
1.761577032603790212e+04,8.554672535565683604e-09
1.778279410038922651e+04,8.227241341700456680e-09
1.795140150921592794e+04,7.912342618981326749e-09
1.812160756773464891e+04,7.912342618981326749e-09
1.829342743352862090e+04,7.912342618981326749e-09
1.846687640789755824e+04,7.912342618981326749e-09
1.864196993722043408e+04,7.609496685459867188e-09
1.881872361433081824e+04,7.318242219076181236e-09
1.899715317990559197e+04,7.318242219076181236e-09
1.917727452386681398e+04,7.318242219076181236e-09
1.935910368679669045e+04,7.318242219076181236e-09
1.954265686136600561e+04,7.038135554931547502e-09
1.972795039377619469e+04,7.038135554931547502e-09
1.991500078521515752e+04,6.768750009458541284e-09
2.029443893369366560e+04,6.768750009458541284e-09
2.048686048133599616e+04,6.509675230458164022e-09
2.068110647222205807e+04,6.509675230458164022e-09
2.087719420479468317e+04,6.260516572014827542e-09
2.107514114151173999e+04,6.260516572014827542e-09
2.127496491040132241e+04,6.260516572014827542e-09
2.147668330663153029e+04,6.020894493336125520e-09
2.168031429409509656e+04,6.020894493336125520e-09
2.188587600700925395e+04,5.790443980602494846e-09
2.209338675153079748e+04,5.790443980602494846e-09
2.230286500738604445e+04,5.790443980602494846e-09
2.251432942951668883e+04,5.568813990945266967e-09
2.272779884974117522e+04,5.355666917706907592e-09
2.294329227843167610e+04,5.355666917706907592e-09
2.316082890620695616e+04,5.355666917706907592e-09
2.338042810564145839e+04,5.355666917706907592e-09
2.360210943299061910e+04,5.150678076168121764e-09
2.382589262993239754e+04,4.953535208959160084e-09
2.405179762532499808e+04,4.953535208959160084e-09
2.427984453698222933e+04,4.953535208959160084e-09
2.451005367346472121e+04,4.953535208959160084e-09
2.474244553588844792e+04,4.763938010401341021e-09
2.497704081975053487e+04,4.763938010401341021e-09
2.521386041677238973e+04,4.581597669054500031e-09
2.545292541676009932e+04,4.581597669054500031e-09
2.569425710948245614e+04,4.581597669054500031e-09
2.593787698656701468e+04,4.406236427773572549e-09
2.618380674341416670e+04,4.237587160604054649e-09
2.643206828112889707e+04,4.237587160604054649e-09
2.668268370847132610e+04,4.237587160604054649e-09
2.693567534382570739e+04,4.237587160604054649e-09
2.719106571718785926e+04,4.075392965871778262e-09
2.744887757217144463e+04,3.919406774847229273e-09
2.770913386803351023e+04,3.919406774847229273e-09
2.797185778171926722e+04,3.919406774847229273e-09
2.823707270992576377e+04,3.769390975388363623e-09
2.850480227118562834e+04,3.625117049988527707e-09
2.877507030797050902e+04,3.625117049988527707e-09
2.904790088881426345e+04,3.625117049988527707e-09
2.932331831045620856e+04,3.486365227678087763e-09
2.960134710000499399e+04,3.352924149249552918e-09
2.988201201712295733e+04,3.352924149249552918e-09
3.045135044873413426e+04,3.224590545296398020e-09
3.074007466526894859e+04,3.224590545296398020e-09
3.103153641797168530e+04,3.101168926574775306e-09
3.132576166276784352e+04,3.101168926574775306e-09
3.162277660168379225e+04,3.101168926574775306e-09
3.192260768518032637e+04,2.982471286216894119e-09
3.222528161450805055e+04,2.868316813342008956e-09
3.253082534408512220e+04,2.868316813342008956e-09
3.283926608389776811e+04,2.868316813342008956e-09
3.315063130192369135e+04,2.758531617629186798e-09
3.346494872657774977e+04,2.652948464431894539e-09
3.378224634918156517e+04,2.652948464431894539e-09
3.410255242645634280e+04,2.652948464431894539e-09
3.442589548303915944e+04,2.551406520031282098e-09
3.475230431402304384e+04,2.453751106639816899e-09
3.508180798752146802e+04,2.453751106639816899e-09
3.541443584725708934e+04,2.453751106639816899e-09
3.575021751517484518e+04,2.359833466782198407e-09
3.608918289407972043e+04,2.269510536694668452e-09
3.643136217029989348e+04,2.269510536694668452e-09
3.677678581637518801e+04,2.182644728397482734e-09
3.712548459377030667e+04,2.099103720108554579e-09
3.747748955561452749e+04,2.099103720108554579e-09
3.783283204946725164e+04,2.099103720108554579e-09
3.819154372010949737e+04,2.018760254679042925e-09
3.855365651236185658e+04,1.941491945743881832e-09
3.891920267392943788e+04,1.941491945743881832e-09
3.928821475827394170e+04,1.867181091291917000e-09
3.966072562751219084e+04,1.795714494371640997e-09
4.003676845534289168e+04,1.795714494371640997e-09
4.079958425724005792e+04,1.660882782627716578e-09
4.118642516334213724e+04,1.660882782627716578e-09
4.157693389815754199e+04,1.597312280060252416e-09
4.197114523817265581e+04,1.536174946671829713e-09
4.236909428960690275e+04,1.536174946671829713e-09
4.277081649153850594e+04,1.477377652598509721e-09
4.317634761906152562e+04,1.420830832533923794e-09
4.358572378647117876e+04,1.366448349295324281e-09
4.399898145047988510e+04,1.314147362611758142e-09
4.441615741346407594e+04,1.314147362611758142e-09
4.483728882674175838e+04,1.263848202934297263e-09
4.526241319388085685e+04,1.215474250076288440e-09
4.569156837403886311e+04,1.215474250076288440e-09
4.612479258533454413e+04,1.168951816498577577e-09
4.656212440825170779e+04,1.124210035062083875e-09
4.700360278907441534e+04,1.081180751076607842e-09
4.744926704335556860e+04,1.039798418481492086e-09
4.789915685941834090e+04,1.000000000000000062e-09
4.835331230189040070e+04,9.617248711152944912e-10
4.881177381527165562e+04,9.249147277217334989e-10
4.927458222753616428e+04,8.895134973108254281e-10
4.974177875376839074e+04,8.554672535565684018e-10
5.021340499983295740e+04,8.227241341700456886e-10
5.117011505108632264e+04,7.609496685459899035e-10
5.165528405542972905e+04,7.318242219076181236e-10
5.214505318550160882e+04,7.038135554931547295e-10
5.263946605735425692e+04,6.768750009458513573e-10
5.313856670058541204e+04,6.509675230458164229e-10
5.364239956225905917e+04,6.260516572014828369e-10
5.415100951086341956e+04,6.020894493336125106e-10
5.466444184030689939e+04,5.790443980602471478e-10
5.518274227395204070e+04,5.568813990945267174e-10
5.570595696868670348e+04,5.355666917706907178e-10
5.623413251903490891e+04,4.953535208959160291e-10
5.676731596130645630e+04,4.763938010401340400e-10
5.730555477778552449e+04,4.581597669054500238e-10
5.784889690095892729e+04,4.406236427773572963e-10
5.839739071778493235e+04,4.237587160604054855e-10
